ID,Q1,Q2,Q3,Q4,TEXT,SCALE,TYPE
ID34,0.75,0.53,0.00,0.00,TEXT1,VAS,HM
ID35,0.61,0.62,0.00,0.00,TEXT1,VAS,HM
ID36,0.36,0.29,0.20,0.14,TEXT1,VAS,HM
ID37,0.28,0.00,0.00,0.00,TEXT1,VAS,HM
ID38,0.24,0.00,0.45,0.00,TEXT1,VAS,HM
ID39,0.64,0.20,0.04,0.02,TEXT1,VAS,HM
ID40,0.13,0.13,0.00,0.00,TEXT1,VAS,HM
ID41,0.68,0.54,0.17,0.00,TEXT1,VAS,HM
ID42,0.48,0.00,0.00,0.00,TEXT1,VAS,HM
ID43,0.50,0.60,0.20,0.00,TEXT1,VAS,HM
ID44,0.00,0.05,0.00,0.03,TEXT1,VAS,HM
ID45,0.64,0.58,0.21,0.00,TEXT1,VAS,HM
ID46,0.00,0.00,0.00,0.00,TEXT1,VAS,HM
ID47,0.32,0.40,0.47,0.00,TEXT1,VAS,HM
ID48,0.64,0.00,0.00,0.00,TEXT1,VAS,HM
ID49,0.58,0.43,0.33,0.29,TEXT1,VAS,HM
ID50,0.39,0.37,0.37,0.27,TEXT1,VAS,HM
ID51,0.57,0.00,0.00,0.00,TEXT1,VAS,HM
ID52,0.71,0.61,0.23,0.15,TEXT1,VAS,HM
ID53,0.05,0.01,0.00,0.00,TEXT1,VAS,HM
ID33,0.01,0.00,0.00,0.00,TEXT2,VAS,HM
ID34,0.26,0.01,0.00,0.00,TEXT2,VAS,HM
ID35,0.60,0.66,0.00,0.00,TEXT2,VAS,HM
ID36,0.12,0.33,0.09,0.32,TEXT2,VAS,HM
ID37,0.23,0.00,0.00,0.00,TEXT2,VAS,HM
ID38,0.39,0.00,0.10,0.08,TEXT2,VAS,HM
ID39,0.55,0.19,0.62,0.22,TEXT2,VAS,HM
ID40,0.29,0.30,0.00,0.00,TEXT2,VAS,HM
ID41,0.27,0.28,0.50,0.36,TEXT2,VAS,HM
ID42,0.29,0.02,0.00,0.00,TEXT2,VAS,HM
ID43,0.50,0.38,0.20,0.00,TEXT2,VAS,HM
ID44,0.00,0.00,0.00,0.00,TEXT2,VAS,HM
ID45,0.00,0.14,0.00,0.00,TEXT2,VAS,HM
ID46,0.00,0.00,0.14,0.00,TEXT2,VAS,HM
ID47,0.24,0.22,0.17,0.00,TEXT2,VAS,HM
ID48,0.00,0.00,0.00,0.00,TEXT2,VAS,HM
ID49,0.23,0.46,0.56,0.53,TEXT2,VAS,HM
ID50,0.33,0.30,0.30,0.00,TEXT2,VAS,HM
ID51,0.27,0.63,0.00,0.00,TEXT2,VAS,HM
ID52,0.79,0.89,0.69,0.29,TEXT2,VAS,HM
ID53,0.00,0.00,0.00,0.00,TEXT2,VAS,HM
ID33,0.55,0.30,0.00,0.00,TEXT2,VAS,HM
ID34,0.86,0.79,0.00,0.00,TEXT3,VAS,HM
ID35,0.64,0.68,0.00,0.00,TEXT3,VAS,HM
ID36,0.65,0.63,0.04,0.00,TEXT3,VAS,HM
ID37,0.22,0.14,0.00,0.00,TEXT3,VAS,HM
ID38,0.60,0.67,0.00,0.00,TEXT3,VAS,HM
ID39,0.80,0.63,0.00,0.00,TEXT3,VAS,HM
ID40,0.63,0.63,0.00,0.00,TEXT3,VAS,HM
ID41,0.83,0.50,0.00,0.00,TEXT3,VAS,HM
ID42,0.70,0.71,0.00,0.60,TEXT3,VAS,HM
ID43,0.62,0.57,0.33,0.15,TEXT3,VAS,HM
ID44,0.00,0.00,0.00,0.00,TEXT3,VAS,HM
ID45,0.61,0.70,0.00,0.62,TEXT3,VAS,HM
ID46,0.00,0.00,0.00,0.00,TEXT3,VAS,HM
ID47,0.51,0.27,0.40,0.13,TEXT3,VAS,HM
ID48,0.61,0.00,0.00,0.00,TEXT3,VAS,HM
ID49,0.47,0.59,0.55,0.58,TEXT3,VAS,HM
ID50,0.56,0.55,0.00,0.00,TEXT3,VAS,HM
ID51,0.39,0.55,0.00,0.00,TEXT3,VAS,HM
ID52,0.60,0.27,0.12,0.20,TEXT3,VAS,HM
ID53,0.00,0.00,0.00,0.00,TEXT3,VAS,HM
